File: ds2-linux
Build ID: 3a9eca411e2450065abaf1942fea5d6637aca50b
Type: cpu
Time: 2026-03-02 16:32:23 CST
Duration: 18.99s, Total samples = 410ms ( 2.16%)
Showing nodes accounting for 410ms, 100% of 410ms total
      flat  flat%   sum%        cum   cum%
         0     0% 56.10%       10ms  2.44%  crypto/tls.(*Conn).clientHandshake
         0     0% 56.10%       10ms  2.44%  crypto/tls.(*Conn).handshakeContext
         0     0% 56.10%       10ms  2.44%  crypto/tls.(*Conn).verifyServerCertificate
         0     0% 56.10%       10ms  2.44%  crypto/tls.(*clientHandshakeStateTLS13).handshake
         0     0% 56.10%       10ms  2.44%  crypto/tls.(*clientHandshakeStateTLS13).readServerCertificate
         0     0% 56.10%       10ms  2.44%  crypto/x509.(*CertPool).AppendCertsFromPEM
         0     0% 56.10%       10ms  2.44%  crypto/x509.(*Certificate).Verify
         0     0% 56.10%       10ms  2.44%  crypto/x509.ParseCertificate
         0     0% 56.10%       10ms  2.44%  crypto/x509.initSystemRoots
         0     0% 56.10%       10ms  2.44%  crypto/x509.loadSystemRoots
         0     0% 56.10%       10ms  2.44%  crypto/x509.parseCertificate
         0     0% 56.10%       10ms  2.44%  crypto/x509.parseTime
         0     0% 56.10%       10ms  2.44%  crypto/x509.parseValidity
         0     0% 56.10%       10ms  2.44%  crypto/x509.systemRootsPool
      10ms  2.44% 58.54%       10ms  2.44%  github.com/charmbracelet/ultraviolet.(*Buffer).CellAt (inline)
         0     0% 58.54%       10ms  2.44%  github.com/charmbracelet/ultraviolet.(*RenderBuffer).SetCell
         0     0% 58.54%       10ms  2.44%  github.com/charmbracelet/ultraviolet.(*StyledString).Draw
      10ms  2.44% 60.98%       10ms  2.44%  github.com/charmbracelet/ultraviolet.NewBuffer
         0     0% 60.98%       10ms  2.44%  github.com/charmbracelet/ultraviolet.NewRenderBuffer (inline)
         0     0% 60.98%       10ms  2.44%  github.com/charmbracelet/ultraviolet.NewScreenBuffer (inline)
         0     0% 60.98%       10ms  2.44%  github.com/charmbracelet/ultraviolet.ReadStyle
         0     0% 60.98%       10ms  2.44%  github.com/charmbracelet/ultraviolet.printString[go.shape.string]
         0     0% 60.98%       10ms  2.44%  github.com/charmbracelet/x/ansi.(*Parser).Advance
         0     0% 60.98%       10ms  2.44%  github.com/charmbracelet/x/ansi.(*Parser).advance
         0     0% 60.98%       10ms  2.44%  github.com/charmbracelet/x/ansi.(*Parser).performAction
      10ms  2.44% 63.41%       10ms  2.44%  github.com/charmbracelet/x/ansi.Params.Param (inline)
         0     0% 63.41%       10ms  2.44%  github.com/clipperhouse/displaywidth.Options.String
      10ms  2.44% 65.85%       10ms  2.44%  github.com/clipperhouse/uax29/v2/graphemes.(*Iterator[go.shape.string]).Value (inline)
